"ad_date","source","campaign_name","audience_segment","total_spend","total_impressions","total_reach","total_clicks","total_leads","total_value","utm_campaign"
2020-11-11,facebook,Discounts,True power,189,1800,1690,45,0,238,discounts
2020-11-12,facebook,Discounts,True power,2266,10264,11558,395,7,2079,discounts
2020-11-12,facebook,Discounts,Upgrades,34,209,52,2,0,34,discounts
2020-11-12,google,Discounts,True power,332,9124,2900,252,6,440,discounts
2020-11-12,google,Discounts,Upgrades,66,180,129,7,0,76,discounts
2020-11-13,facebook,Discounts,True power,622,11603,2855,451,7,960,discounts
2020-11-13,facebook,Discounts,Upgrades,14,66,52,0,0,17,discounts
2020-11-13,google,Discounts,True power,1054,6449,4682,108,9,1357,discounts
2020-11-14,facebook,Discounts,True power,727,5005,2375,392,4,1267,discounts
2020-11-14,google,Discounts,Upgrades,1,7,6,0,0,1,discounts
2020-11-15,facebook,Discounts,True power,698,12465,8396,657,4,1096,discounts
2020-11-15,google,Discounts,True power,682,5210,1882,130,2,1000,discounts
2020-11-16,facebook,Discounts,True power,4167,13113,16542,768,9,3291,discounts
2020-11-16,google,Discounts,True power,2760,17001,8890,597,12,3555,discounts
2020-11-17,facebook,Discounts,True power,1261,17686,3791,270,5,1195,discounts
2020-11-18,facebook,Discounts,True power,3330,4881,14615,177,5,3539,discounts
2020-11-18,google,Discounts,True power,372,15958,12117,105,2,407,discounts
2020-11-19,facebook,Discounts,True power,1083,12938,3255,330,8,1765,discounts
2020-11-20,facebook,Discounts,True power,1684,18425,7947,344,1,1681,discounts
2020-11-20,google,Discounts,True power,2433,1781,10475,235,6,2602,discounts
2020-11-21,facebook,Discounts,True power,1819,10351,19369,631,8,1716,discounts
2020-11-21,google,Discounts,True power,2137,5352,4128,447,6,3513,discounts
2020-11-22,facebook,Discounts,True power,3646,9922,10012,263,9,4865,discounts
2020-11-23,facebook,Discounts,True power,1456,14090,11138,116,3,2021,discounts
2020-11-23,google,Discounts,True power,2762,4664,10765,47,7,4419,discounts
2020-11-24,facebook,Discounts,True power,3700,5152,8025,268,5,4029,discounts
2020-11-24,google,Discounts,True power,2402,3471,4087,155,0,2432,discounts
2020-11-25,facebook,Discounts,True power,3995,2625,8001,212,3,3586,discounts
2020-11-25,google,Discounts,True power,398,4676,8490,316,3,271,discounts
2020-11-26,facebook,Discounts,True power,1423,8790,4867,185,7,1711,discounts
2020-11-27,facebook,Discounts,True power,771,9211,2671,128,3,1055,discounts
2020-11-27,google,Discounts,True power,1827,9779,3874,208,6,2800,discounts
2020-11-28,facebook,Discounts,True power,854,3481,1045,155,2,1141,discounts
2020-11-28,google,Discounts,True power,422,3829,1779,129,0,523,discounts
2020-11-29,facebook,Discounts,True power,1366,5570,16550,184,8,1762,discounts
2020-11-29,google,Discounts,True power,618,2784,6078,241,5,557,discounts
2020-11-30,facebook,Discounts,True power,3984,17746,3856,320,7,6794,discounts
2020-12-01,facebook,Discounts,True power,879,17468,7304,463,7,1354,discounts
2020-12-02,facebook,Discounts,True power,2227,8252,9634,386,1,3027,discounts
2020-12-03,facebook,Discounts,True power,4056,2575,10910,410,2,3266,discounts
2020-12-03,google,Discounts,True power,3214,4307,4263,328,1,2318,discounts
2020-12-04,facebook,Discounts,True power,2730,3037,3148,250,2,2307,discounts
2020-12-04,google,Discounts,True power,616,4891,13212,97,5,691,discounts
2020-12-05,facebook,Discounts,True power,2812,2351,8088,104,5,4528,discounts
2020-12-05,google,Discounts,True power,1622,2218,8158,250,5,2501,discounts
2020-12-06,facebook,Discounts,True power,4271,18728,7243,220,8,7228,discounts
2020-12-06,google,Discounts,True power,2225,12710,1560,289,8,1704,discounts
2020-12-07,facebook,Discounts,True power,3729,17289,16527,162,6,6076,discounts
2020-12-08,facebook,Discounts,True power,3716,5474,5001,280,0,5495,discounts
2020-12-08,google,Discounts,True power,936,4753,3106,102,4,965,discounts
2020-12-09,facebook,Discounts,True power,2565,4642,9670,68,3,4245,discounts
2020-12-09,google,Discounts,True power,2493,5377,3442,209,3,3896,discounts
2020-12-10,facebook,Discounts,True power,2552,8250,7111,121,6,2425,discounts
2020-12-10,google,Discounts,True power,678,7192,9742,29,1,977,discounts
2020-12-11,google,Discounts,True power,2839,5284,7259,174,1,3105,discounts
2020-12-12,facebook,Discounts,True power,3633,9420,2082,210,3,4183,discounts
2020-12-12,google,Discounts,True power,1693,9043,3509,31,0,1500,discounts
2020-12-13,facebook,Discounts,True power,2503,8037,10953,223,5,2872,discounts
2020-12-13,google,Discounts,True power,2284,5596,9777,198,1,3301,discounts
2020-12-14,facebook,Discounts,True power,1598,11581,10053,142,3,1589,discounts
2020-12-15,facebook,Discounts,True power,3150,9275,5469,100,1,3690,discounts
2020-12-15,google,Discounts,True power,2069,1574,3645,106,1,2874,discounts
2020-12-16,facebook,Discounts,True power,3203,9037,5686,169,4,2456,discounts
2020-12-16,google,Discounts,True power,2226,1695,2875,248,0,2653,discounts
2020-12-17,facebook,Discounts,True power,2739,11930,11208,158,2,2754,discounts
2020-12-17,google,Discounts,True power,1002,1800,9206,198,0,1065,discounts
2020-12-18,facebook,Discounts,True power,1116,11041,6597,233,2,1528,discounts
2020-12-18,google,Discounts,True power,2355,8704,8927,163,1,2744,discounts
2020-12-19,facebook,Discounts,True power,726,10078,2905,340,8,1244,discounts
2020-12-19,google,Discounts,True power,884,11212,8531,207,6,581,discounts
2020-12-20,facebook,Discounts,True power,1731,2370,7010,277,4,1712,discounts
2020-12-20,google,Discounts,True power,3383,5482,4626,319,1,3513,discounts
2020-12-21,facebook,Discounts,True power,2307,10143,9926,223,1,3150,discounts
2020-12-21,google,Discounts,True power,3253,8603,10721,106,4,2578,discounts
2020-12-22,facebook,Discounts,True power,2511,5155,10250,314,4,2752,discounts
2020-12-22,google,Discounts,True power,1211,3317,9646,234,8,1835,discounts
2020-12-23,google,Discounts,True power,548,5361,1452,62,3,625,discounts
2020-12-24,google,Discounts,True power,1904,3597,9038,143,5,2773,discounts
2020-12-25,facebook,Brand,Improved,1099,5520,8223,6,0,1691,recognition
2020-12-25,google,Discounts,True power,2049,3884,5679,57,5,3297,discounts
2020-12-26,facebook,Brand,Improved,1068,5274,6693,3,0,1692,recognition
2020-12-26,facebook,Brand,Reach 2,264,14034,11218,14,1,462,recognition
2020-12-26,facebook,Brand,Travel,432,4870,3822,2,0,401,recognition
2020-12-26,facebook,Discounts,True power,4014,3840,4237,370,8,6140,discounts
2020-12-26,google,Brand,Improved,1098,754,6248,3,0,1112,recognition
2020-12-26,google,Brand,Travel,420,6200,3061,2,0,325,recognition
2020-12-26,google,Discounts,True power,834,12062,1405,249,2,1327,discounts
2020-12-27,facebook,Brand,Improved,717,6236,4700,0,0,1157,recognition
2020-12-27,facebook,Brand,Reach 2,826,17365,53244,21,0,881,recognition
2020-12-27,facebook,Brand,Travel,406,1683,2615,9,0,431,recognition
2020-12-27,facebook,Discounts,True power,3422,7751,3576,514,1,5162,discounts
2020-12-27,google,Brand,Improved,1108,4692,2820,0,0,1147,recognition
2020-12-27,google,Brand,Travel,419,7601,892,6,0,654,recognition
2020-12-27,google,Discounts,True power,1358,3219,7243,261,7,1723,discounts
2020-12-28,facebook,Brand,Improved,1296,1717,3835,0,0,1390,recognition
2020-12-28,facebook,Brand,Reach 2,1487,27387,25160,10,0,2280,recognition
2020-12-28,facebook,Brand,Travel,1,18,35,0,0,1,recognition
2020-12-28,facebook,Discounts,True power,1441,9424,11915,80,6,2463,discounts
2020-12-28,google,Brand,Travel,3,37,45,0,0,5,recognition
2020-12-28,google,Discounts,True power,2461,3791,3601,75,4,3204,discounts
2020-12-29,facebook,Brand,Improved,321,634,2798,0,0,280,recognition
2020-12-29,facebook,Brand,Reach 2,1019,12103,37619,8,0,835,recognition
2020-12-29,facebook,Discounts,True power,3797,12620,5190,154,3,4479,discounts
2020-12-29,google,Brand,Improved,374,921,1395,0,0,335,recognition
2020-12-30,facebook,Brand,Improved,1510,820,2846,3,0,1818,recognition
2020-12-30,facebook,Brand,Reach 2,95,7030,1886,0,0,122,recognition
2020-12-30,google,Discounts,True power,2772,8853,3328,199,3,3923,discounts
2020-12-31,facebook,Brand,Improved,1287,3263,1563,1,0,1707,recognition
2020-12-31,facebook,Discounts,True power,0,0,0,0,0,0,discounts
2020-12-31,google,Brand,Improved,1368,2690,453,3,0,1403,recognition
2021-01-01,facebook,Brand,Improved,39,353,406,0,0,59,recognition
2021-01-01,facebook,Discounts,True power,0,0,0,0,0,0,discounts
2021-01-01,google,Brand,Improved,105,186,211,0,0,148,recognition
2021-01-02,facebook,Discounts,True power,774,10709,4836,205,7,690,discounts
2021-01-02,google,Discounts,True power,1929,5175,4514,531,9,1461,discounts
2021-01-03,google,Discounts,True power,4211,12160,14148,785,1,5815,discounts
2021-01-04,facebook,Discounts,True power,7006,22440,11055,1256,21,6847,discounts
2021-01-05,facebook,Discounts,True power,8115,60232,50117,1379,20,6168,discounts
2021-01-06,facebook,Brand,Improved,7,121,160,0,0,7,recognition
2021-01-06,facebook,Discounts,True power,14270,65144,79991,431,19,14590,discounts
2021-01-06,google,Brand,Improved,2,95,51,0,0,3,recognition
2021-01-07,facebook,Brand,Improved,305,2742,1714,0,0,474,recognition
2021-01-07,facebook,Discounts,True power,11637,53143,64515,1480,10,17820,discounts
2021-01-07,google,Brand,Improved,336,991,594,0,0,507,recognition
2021-01-07,google,Discounts,True power,6750,83285,25063,1526,29,6495,discounts
2021-01-08,facebook,Brand,Improved,96,1064,1974,2,0,139,recognition
2021-01-08,facebook,Discounts,True power,6101,32489,56337,2639,17,8364,discounts
2021-01-08,google,Brand,Improved,226,671,2491,0,0,361,recognition
2021-01-09,facebook,Discounts,True power,5363,47079,50994,708,30,4094,discounts
2021-01-10,facebook,Discounts,True power,1680,15045,9633,679,6,1586,discounts
2021-01-10,google,Discounts,True power,2707,3683,8074,765,6,4416,discounts
2021-01-11,facebook,Discounts,True power,2846,18584,33606,650,0,3244,discounts
2021-01-12,facebook,Brand,Improved,359,1062,1762,2,0,381,recognition
2021-01-12,facebook,Discounts,True power,13311,38693,30049,1656,18,21600,discounts
2021-01-12,google,Brand,Improved,297,1015,1375,4,0,473,recognition
2021-01-13,facebook,Brand,Improved,189,2693,928,1,0,220,recognition
2021-01-13,facebook,Discounts,True power,5097,28028,46286,1511,22,5221,discounts
2021-01-13,google,Brand,Improved,282,2814,1053,1,0,271,recognition
2021-01-13,google,Discounts,True power,10112,44611,57080,947,17,13833,discounts
2021-01-14,facebook,Brand,Improved,72,1035,1005,0,0,76,recognition
2021-01-14,google,Discounts,True power,3318,73978,27786,261,8,3570,discounts
2021-01-15,facebook,Brand,Improved,234,3137,2795,0,0,365,recognition
2021-01-15,facebook,Discounts,True power,7599,49150,61206,1180,9,13014,discounts
2021-01-16,facebook,Brand,Improved,186,980,2038,2,0,281,recognition
2021-01-16,facebook,Discounts,True power,12635,77416,61937,668,11,12104,discounts
2021-01-16,google,Brand,Improved,50,2154,1774,1,0,57,recognition
2021-01-16,google,Discounts,True power,3055,10579,67474,249,15,4486,discounts
2021-01-17,facebook,Discounts,True power,3666,38189,31780,903,20,5809,discounts
2021-01-17,google,Brand,Improved,41,728,1482,0,0,55,recognition
2021-01-17,google,Discounts,True power,7553,14118,36040,377,11,11109,discounts
2021-01-18,facebook,Brand,Improved,328,1597,861,0,0,360,recognition
2021-01-18,facebook,Discounts,True power,2735,27331,21430,124,3,2602,discounts
2021-01-18,google,Brand,Improved,58,1475,977,0,0,50,recognition
2021-01-18,google,Discounts,True power,752,17788,9621,227,9,677,discounts
2021-01-19,facebook,Brand,Improved,64,211,420,0,0,102,recognition
2021-01-19,facebook,Discounts,True power,1120,6891,13421,186,2,1402,discounts
2021-01-19,google,Brand,Improved,21,291,66,0,0,20,recognition
2021-01-20,facebook,Brand,Improved,311,1319,441,2,0,371,recognition
2021-01-20,facebook,Discounts,True power,1594,7279,6368,125,2,2648,discounts
2021-01-20,google,Brand,Improved,142,811,1215,1,0,111,recognition
2021-01-20,google,Discounts,True power,1267,8527,7018,179,4,1414,discounts
2021-01-21,facebook,Brand,Improved,218,1483,1209,0,0,287,recognition
2021-01-21,facebook,Discounts,True power,1548,4956,10440,202,5,2510,discounts
2021-01-21,google,Discounts,True power,1791,9879,9560,69,3,1522,discounts
2021-01-22,facebook,Brand,Improved,136,3088,1572,0,0,215,recognition
2021-01-22,facebook,Discounts,True power,2078,5850,10696,220,3,3386,discounts
2021-01-22,google,Brand,Improved,58,684,493,0,0,45,recognition
2021-01-22,google,Discounts,True power,1755,1661,3526,199,4,1415,discounts
2021-01-23,facebook,Discounts,True power,711,12488,6546,176,4,710,discounts
2021-01-23,google,Brand,Improved,235,541,629,0,0,176,recognition
2021-01-24,facebook,Brand,Improved,8,113,38,0,0,13,recognition
2021-01-24,facebook,Discounts,True power,2177,9548,2546,178,4,2323,discounts
2021-01-24,google,Brand,Improved,21,126,61,0,0,19,recognition
2021-01-24,google,Discounts,True power,2295,2122,6227,173,5,2930,discounts
2021-01-25,facebook,Discounts,True power,1413,7923,7487,180,3,2405,discounts
2021-01-25,google,Discounts,True power,1278,1398,2173,222,2,1449,discounts
2021-01-26,facebook,Brand,Research,144,6151,3968,3,0,136,бренд
2021-01-26,facebook,Discounts,True power,1843,8760,5155,98,1,1534,discounts
2021-01-27,facebook,Brand,Reach 2,168,7306,1499,1,0,210,recognition
2021-01-27,facebook,Brand,Research,553,1722,4932,7,0,608,бренд
2021-01-27,facebook,Discounts,True power,1878,4880,2741,116,2,1956,discounts
2021-01-28,facebook,Brand,Research,109,2361,2235,3,0,110,бренд
2021-01-28,facebook,Discounts,True power,2736,11447,3090,113,2,2850,discounts
2021-01-28,google,Discounts,True power,394,7294,1118,103,3,484,discounts
2021-01-29,facebook,Discounts,True power,996,8466,9716,144,1,1282,discounts
2021-01-30,google,Discounts,True power,2077,3945,3919,96,4,3310,discounts
2021-01-31,facebook,Discounts,True power,1278,6206,5319,95,1,1261,discounts
2021-01-31,google,Discounts,True power,1269,4975,3145,56,1,1379,discounts
2021-02-01,facebook,Discounts,True power,2800,10775,7184,130,2,2627,discounts
2021-02-01,google,Discounts,True power,2096,5491,5994,42,2,2608,discounts
2021-02-02,facebook,Discounts,True power,2869,1813,3645,97,0,3825,discounts
2021-02-02,google,Discounts,True power,829,2051,2007,99,4,1129,discounts
2021-02-03,facebook,Discounts,True power,735,1308,3370,107,2,1155,discounts
2021-02-03,google,Discounts,True power,817,3434,1577,18,2,1049,discounts
2021-02-04,facebook,Discounts,True power,708,3016,2199,48,4,947,discounts
2021-02-04,google,Discounts,True power,2156,10329,6699,58,1,3050,discounts
2021-02-05,facebook,Discounts,True power,1075,1784,10959,176,2,887,discounts
2021-02-05,google,Discounts,True power,1286,9265,5596,183,2,1244,discounts
2021-02-06,facebook,Discounts,True power,1226,5852,8336,242,2,1290,discounts
2021-02-06,google,Discounts,True power,1544,9120,6791,60,3,1202,discounts
2021-02-07,facebook,Discounts,True power,789,3931,7914,73,0,898,discounts
2021-02-08,facebook,Discounts,True power,596,4919,2040,124,4,635,discounts
2021-02-08,google,Discounts,True power,516,6553,4221,102,3,660,discounts
2021-02-09,facebook,Discounts,True power,585,6840,7838,153,2,864,discounts
2021-02-09,google,Discounts,True power,2156,5955,6173,39,5,2342,discounts
2021-02-10,facebook,Discounts,True power,2410,6428,2361,110,1,3321,discounts
2021-02-10,google,Discounts,True power,1947,5405,7525,109,2,2178,discounts
2021-02-11,facebook,Discounts,True power,1053,6239,5164,66,1,1683,discounts
2021-02-12,facebook,Discounts,True power,1432,3761,2545,110,3,2372,discounts
2021-02-12,google,Discounts,True power,1570,3492,795,21,1,1603,discounts
2021-02-13,facebook,Discounts,True power,2884,7366,7156,54,0,3243,discounts
2021-02-13,google,Discounts,True power,799,4060,3098,101,3,677,discounts
2021-02-14,facebook,Discounts,True power,2791,3591,6311,40,4,3363,discounts
2021-02-14,google,Discounts,True power,1974,2776,7245,126,3,3246,discounts
2021-02-15,facebook,Discounts,True power,2153,9526,9443,117,4,2416,discounts
2021-02-15,google,Discounts,True power,1158,8654,8336,59,5,1501,discounts
2021-02-16,facebook,Discounts,True power,2225,7960,1517,47,4,3175,discounts
2021-02-17,facebook,Discounts,True power,639,9268,7875,109,2,585,discounts
2021-02-17,google,Discounts,True power,1979,4594,3196,127,0,2036,discounts
2021-02-18,facebook,Discounts,True power,1879,1704,1806,158,1,2575,discounts
2021-02-18,google,Discounts,True power,2305,5823,3322,90,4,2010,discounts
2021-02-19,facebook,Brand,Spotlight,82,17157,21826,4,0,130,бренд
2021-02-19,facebook,Discounts,True power,2044,12933,11660,258,1,1841,discounts
2021-02-20,facebook,Brand,Spotlight,162,16058,15804,6,0,222,бренд
2021-02-20,facebook,Discounts,True power,4631,3653,5043,244,5,5763,discounts
2021-02-20,google,Discounts,True power,3562,9250,12151,128,1,5614,discounts
2021-02-21,facebook,Brand,Spotlight,168,3775,10172,8,0,142,бренд
2021-02-21,facebook,Discounts,True power,3835,6287,5677,445,7,6298,discounts
2021-02-22,facebook,Brand,Spotlight,184,3679,7337,0,0,169,бренд
2021-02-22,facebook,Discounts,True power,5427,13680,21801,420,10,7128,discounts
2021-02-22,google,Discounts,True power,5231,11383,7439,488,0,8090,discounts
2021-02-23,facebook,Discounts,True power,3319,12352,4481,147,2,3434,discounts
2021-02-24,facebook,Discounts,True power,5620,14526,13650,99,5,6609,discounts
2021-02-24,google,Discounts,True power,1948,8640,6633,110,0,1332,discounts
2021-02-25,facebook,Discounts,True power,3190,3030,8199,213,1,4706,discounts
2021-02-25,google,Discounts,True power,1479,9576,9023,23,2,1710,discounts
2021-02-27,facebook,Discounts,True power,0,0,0,0,0,0,discounts
2021-02-27,google,Discounts,True power,0,0,0,0,0,0,discounts
2021-02-28,facebook,Discounts,True power,0,0,0,0,0,0,discounts
2021-02-28,google,Discounts,True power,0,0,0,0,0,0,discounts
2021-03-05,facebook,Brand,Reach 2,749,27963,4709,5,0,1227,recognition
2021-03-06,facebook,Brand,Reach 2,1025,7098,18519,6,0,1195,recognition
2021-03-07,facebook,Brand,Reach 2,649,7067,14136,4,0,876,recognition
2021-03-09,facebook,Brand,Reach 2,510,10350,24548,22,0,560,recognition
2021-03-10,facebook,Brand,Reach 2,702,7257,4653,4,0,590,recognition
2021-03-11,facebook,Brand,Reach 2,920,25174,11294,10,0,1219,recognition
2021-03-12,facebook,Brand,Reach 2,832,15034,13549,1,0,872,recognition
2021-03-13,facebook,Brand,Reach 2,81,3616,5366,0,0,138,recognition
2021-04-07,facebook,Brand,Reach 4,71,1355,1280,3,0,104,recognition
2021-04-08,facebook,Brand,Reach 3,569,1039,2713,6,0,911,recognition
2021-04-08,facebook,Brand,Reach 4,326,3744,1847,10,0,298,recognition
2021-04-09,facebook,Brand,Reach 3,322,4732,4555,3,0,473,recognition
2021-04-09,facebook,Brand,Reach 4,86,2117,1545,0,0,127,recognition
2021-04-10,facebook,Brand,Reach 3,270,1520,558,5,0,243,recognition
2021-04-10,facebook,Brand,Reach 4,211,1230,3155,6,0,171,recognition
2021-04-14,facebook,Electronics,Narrow,4333,65315,26964,619,7,6973,discounts
2021-04-14,google,Electronics,Narrow,13935,29068,32250,348,10,10232,discounts
2021-04-15,facebook,Electronics,Narrow,5443,24029,37158,507,10,5207,discounts
